rsid,metabolite_id,p,gene,study,biochemical_name
rs478093,metabolite_503,3.427e-48,PHGDH,Yin et. al. 2022,serine
rs6698740,metabolite_1442,9.807e-14,unknown,Yin et. al. 2022,beta-hydroxyisovalerate
rs200293623,metabolite_100002796,5.65e-11,THEM4|THEM5,Yin et. al. 2022,cis-4-decenoate (10:1n6)*
rs12067594,metabolite_100002796,9.31e-15,THEM4|THEM5,Yin et. al. 2022,cis-4-decenoate (10:1n6)*
rs16833668,metabolite_100020478,5.235e-23,THEM4|THEM5,Yin et. al. 2022,dodecadienoate (12:2)*
rs61817724,metabolite_100000773,1.132e-44,THEM4|THEM5,Yin et. al. 2022,3-hydroxyoctanoate
rs61817724,metabolite_100006367,2.208e-13,THEM4|THEM5,Yin et. al. 2022,3-hydroxyhexanoate
rs112126840,metabolite_100001145,1.33e-12,THEM4|THEM5,Yin et. al. 2022,3-hydroxysebacate
rs6675930,metabolite_100000997,2.692e-70,THEM4|THEM5,Yin et. al. 2022,3-hydroxydecanoate
rs6675930,metabolite_100001112,1.913e-24,THEM4|THEM5,Yin et. al. 2022,3-hydroxylaurate
rs6675930,metabolite_100002796,2.539e-166,THEM4|THEM5,Yin et. al. 2022,cis-4-decenoate (10:1n6)*
rs6682605,metabolite_100020343,1.745e-25,THEM4|THEM5,Yin et. al. 2022,tetradecadienoate (14:2)*
rs10675058,metabolite_100021131,8.327e-15,THEM4|THEM5,Yin et. al. 2022,undecenoylcarnitine (C11:1)
rs143665098,metabolite_100009407,1.983e-21,THEM4|THEM5,Yin et. al. 2022,pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)
rs16833728,metabolite_100001731,3.686e-23,unknown,Yin et. al. 2022,indoleacetylglutamine
rs6702754,metabolite_100006115,5.68e-13,AQP10,Yin et. al. 2022,arabonate/xylonate
rs6702754,metabolite_100006430,1.258e-11,AQP10,Yin et. al. 2022,arabitol/xylitol
rs72710225,metabolite_100021329,2.097e-11,unknown,Yin et. al. 2022,(S)-a-amino-omega-caprolactam
rs3754487,metabolite_100002927,2.104e-11,FMO1|FMO2|FMO3|FMO4,Yin et. al. 2022,S-methylcysteine sulfoxide
rs2236873,metabolite_100002749,7.886e-59,FMO1|FMO2|FMO3|FMO4,Yin et. al. 2022,S-methylcysteine
rs146355388,metabolite_1162,2.336e-15,NPL,Yin et. al. 2022,N-acetylneuraminate
rs77688064,metabolite_1162,1.402e-13,NPL,Yin et. al. 2022,N-acetylneuraminate
rs6676688,metabolite_2054,4.815e-16,unknown,Yin et. al. 2022,ethylmalonate
rs752521494,metabolite_100008954,2.528e-14,DEGS1,Yin et. al. 2022,palmitoyl dihydrosphingomyelin (d18:0/16:0)*
rs61825638,metabolite_100006378,1.061e-16,KMO,Yin et. al. 2022,N-acetylkynurenine (2)
rs61825638,metabolite_182,9.622e-17,KMO,Yin et. al. 2022,quinolinate
rs61825638,metabolite_98,4.398e-83,KMO,Yin et. al. 2022,kynurenate
rs116654420,metabolite_100001112,4.689e-16,HADHA|HADHB,Yin et. al. 2022,3-hydroxylaurate
rs1395,metabolite_1024,2.35e-17,SLC5A6,Yin et. al. 2022,pantothenate
rs1260326,metabolite_100001383,2.288e-14,GCKR,Yin et. al. 2022,1-myristoyl-GPC (14:0)
rs1260326,metabolite_100001461,6.15e-14,GCKR,Yin et. al. 2022,1-stearoyl-GPE (18:0)
rs1260326,metabolite_100001563,3.017e-14,GCKR,Yin et. al. 2022,2-myristoyl-GPC (14:0)*
rs1260326,metabolite_100001567,2.054e-12,GCKR,Yin et. al. 2022,1-palmitoyl-GPE (16:0)
rs1260326,metabolite_100001618,6.449e-11,GCKR,Yin et. al. 2022,1-myristoylglycerol (14:0)
rs1260326,metabolite_100001856,5.233e-11,GCKR,Yin et. al. 2022,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
rs1260326,metabolite_100008952,9.473e-12,GCKR,Yin et. al. 2022,1-palmitoleoylglycerol (16:1)*
rs1260326,metabolite_100008992,6.6e-14,GCKR,Yin et. al. 2022,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
rs1260326,metabolite_100009138,1.104e-11,GCKR,Yin et. al. 2022,1-myristoyl-2-linoleoyl-GPC (14:0/18:2)*
rs1260326,metabolite_100009139,1.847e-11,GCKR,Yin et. al. 2022,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
rs1260326,metabolite_100009140,3.028e-12,GCKR,Yin et. al. 2022,1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)*
rs1260326,metabolite_100010930,9.864e-12,unknown,Yin et. al. 2022,palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*
rs1260326,metabolite_100010936,8.618e-13,unknown,Yin et. al. 2022,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*
rs1260326,metabolite_100015683,2.07e-13,GCKR,Yin et. al. 2022,myristoyl-linoleoyl-glycerol (14:0/18:2) [1]*
rs1260326,metabolite_100020419,1.86e-13,GCKR,Yin et. al. 2022,1-carboxyethylphenylalanine
rs1260326,metabolite_100020423,3.58e-19,GCKR,Yin et. al. 2022,1-carboxyethylvaline
rs1260326,metabolite_100020425,1.824e-19,GCKR,Yin et. al. 2022,1-carboxyethylleucine
rs1260326,metabolite_100020427,1.165e-14,GCKR,Yin et. al. 2022,1-carboxyethylisoleucine
rs1260326,metabolite_1526,2.963e-14,GCKR,Yin et. al. 2022,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
rs1260326,metabolite_482,4.419e-13,GCKR,Yin et. al. 2022,lactate
rs1260326,metabolite_503,4.214e-11,GCKR,Yin et. al. 2022,serine
rs1260326,metabolite_803,6.098e-149,GCKR,Yin et. al. 2022,mannose
rs1260326,metabolite_811,3.611e-13,GCKR,Yin et. al. 2022,alanine
rs1260326,metabolite_823,8.798e-14,GCKR,Yin et. al. 2022,pyruvate
rs11336847,metabolite_100009141,2.56e-14,unknown,Yin et. al. 2022,1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*
rs11336847,metabolite_564,3.584e-13,unknown,Yin et. al. 2022,threonine
rs11127048,metabolite_1114,1.236e-11,unknown,Yin et. al. 2022,3-aminoisobutyrate
rs113923480,metabolite_100005403,1.725e-27,SRD5A2,Yin et. al. 2022,etiocholanolone glucuronide
rs559555,metabolite_100005403,4.495e-24,SRD5A2,Yin et. al. 2022,etiocholanolone glucuronide
rs148325193,metabolite_100020541,4.917e-17,SRD5A2,Yin et. al. 2022,11beta-hydroxyandrosterone glucuronide
rs3754835,metabolite_100002761,1.806e-17,SRD5A2,Yin et. al. 2022,androsterone glucuronide
rs212714,metabolite_100020541,2.873e-11,unknown,Yin et. al. 2022,11beta-hydroxyandrosterone glucuronide
rs72798731,metabolite_100002761,8.025e-13,unknown,Yin et. al. 2022,androsterone glucuronide
rs77684493,metabolite_100000966,8.953e-31,QPCT,Yin et. al. 2022,pyroglutamylglutamine
rs6544713,metabolite_100001269,2.703e-37,ABCG5|ABCG8,Yin et. al. 2022,campesterol
rs4614977,metabolite_100001269,5.086e-26,ABCG5|ABCG8,Yin et. al. 2022,campesterol
rs1247627279,metabolite_100001269,5.255e-11,ABCG5|ABCG8,Yin et. al. 2022,campesterol
rs72538440,metabolite_1128,3.802e-25,SLC1A4,Yin et. al. 2022,2-aminobutyrate
rs2706762,metabolite_327,1.011e-21,unknown,Yin et. al. 2022,flavin adenine dinucleotide (FAD)
rs12475062,metabolite_100006378,9.291e-28,NAT8,Yin et. al. 2022,N-acetylkynurenine (2)
rs146995896,metabolite_100001104,6e-59,NAT8,Yin et. al. 2022,N-acetyltyrosine
rs55778379,metabolite_100001104,5.528e-12,NAT8,Yin et. al. 2022,N-acetyltyrosine
rs746932999,metabolite_100004299,8.752e-17,NAT8,Yin et. al. 2022,N-acetyl-1-methylhistidine*
rs190742254,metabolite_100020414,9.469e-19,unknown,Yin et. al. 2022,6-bromotryptophan
rs187674121,metabolite_100001253,6.186e-12,NAT8,Yin et. al. 2022,N-acetylglutamine
rs187674121,metabolite_100001266,3.04e-25,NAT8,Yin et. al. 2022,N-acetylarginine
rs187674121,metabolite_100004523,7.695e-19,NAT8,Yin et. al. 2022,N-delta-acetylornithine
rs558831636,metabolite_100001276,1.237e-13,NAT8,Yin et. al. 2022,N-acetylisoleucine
rs1852647,metabolite_100001266,1.182e-23,NAT8,Yin et. al. 2022,N-acetylarginine
rs199716536,metabolite_100001254,1.918e-22,NAT8,Yin et. al. 2022,N-acetyltryptophan
rs34760583,metabolite_100001256,2.142e-11,NAT8,Yin et. al. 2022,N-acetylphenylalanine
rs6711001,metabolite_100001293,1.042e-80,NAT8,Yin et. al. 2022,N-acetylhistidine
rs6711001,metabolite_100006378,1.135e-203,NAT8,Yin et. al. 2022,N-acetylkynurenine (2)
rs112833082,metabolite_100001104,0.0,NAT8,Yin et. al. 2022,N-acetyltyrosine
rs10178409,metabolite_100000743,1.741e-36,unknown,Yin et. al. 2022,2-hydroxyoctanoate
rs10178409,metabolite_100002204,8.188e-67,NAT8,Yin et. al. 2022,N-acetyl-3-methylhistidine*
rs10178409,metabolite_100004227,8.211e-153,unknown,Yin et. al. 2022,2-aminooctanoate
rs10178409,metabolite_100020833,1.426e-48,unknown,Yin et. al. 2022,2-ketocaprylate
rs10201159,metabolite_100001253,0.0,NAT8,Yin et. al. 2022,N-acetylglutamine
rs10201159,metabolite_100001266,0.0,NAT8,Yin et. al. 2022,N-acetylarginine
rs10201159,metabolite_100001577,0.0,NAT8,Yin et. al. 2022,N-acetylcitrulline
rs10201159,metabolite_100004299,0.0,NAT8,Yin et. al. 2022,N-acetyl-1-methylhistidine*
rs10201159,metabolite_100004575,3.496e-124,NAT8,Yin et. al. 2022,"N2,N5-diacetylornithine"
rs10201159,metabolite_100020204,2.386e-147,NAT8,Yin et. al. 2022,N-acetyl-2-aminooctanoate*
rs4547554,metabolite_100000282,2.423e-24,NAT8,Yin et. al. 2022,N-acetylglutamate
rs4547554,metabolite_100001256,1.877e-283,NAT8,Yin et. al. 2022,N-acetylphenylalanine
rs4547554,metabolite_100004523,0.0,NAT8,Yin et. al. 2022,N-delta-acetylornithine
rs4547554,metabolite_100004635,4.47e-76,unknown,Yin et. al. 2022,methionine sulfone
rs4547554,metabolite_1082,4.439e-254,NAT8,Yin et. al. 2022,N-acetylleucine
rs62000430,metabolite_100001104,3.326e-12,NAT8,Yin et. al. 2022,N-acetyltyrosine
rs62000430,metabolite_100001266,8.292e-29,NAT8,Yin et. al. 2022,N-acetylarginine
,metabolite_100001266,2.189e-18,unknown,Yin et. al. 2022,N-acetylarginine
rs62000430,metabolite_100004299,3.392e-16,NAT8,Yin et. al. 2022,N-acetyl-1-methylhistidine*
rs62000430,metabolite_100004523,5.408e-18,NAT8,Yin et. al. 2022,N-delta-acetylornithine
rs190944121,metabolite_100001253,3.735e-21,NAT8,Yin et. al. 2022,N-acetylglutamine
rs190944121,metabolite_100001254,4.806e-87,NAT8,Yin et. al. 2022,N-acetyltryptophan
rs190944121,metabolite_100001256,1.787e-47,NAT8,Yin et. al. 2022,N-acetylphenylalanine
rs190944121,metabolite_100001266,4.425e-153,NAT8,Yin et. al. 2022,N-acetylarginine
rs190944121,metabolite_100001293,5.805e-20,NAT8,Yin et. al. 2022,N-acetylhistidine
rs190944121,metabolite_100004299,2.384e-61,NAT8,Yin et. al. 2022,N-acetyl-1-methylhistidine*
rs190944121,metabolite_100020204,5.527e-36,NAT8,Yin et. al. 2022,N-acetyl-2-aminooctanoate*
rs190944121,metabolite_1082,3.038e-14,NAT8,Yin et. al. 2022,N-acetylleucine
rs75374924,metabolite_100001266,2.721e-15,NAT8,Yin et. al. 2022,N-acetylarginine
rs192300980,metabolite_100001256,6.374e-14,NAT8,Yin et. al. 2022,N-acetylphenylalanine
rs185033300,metabolite_100004227,4.65e-12,NAT8,Yin et. al. 2022,2-aminooctanoate
rs185033300,metabolite_100004523,7.479e-33,NAT8,Yin et. al. 2022,N-delta-acetylornithine
rs17322446,metabolite_100001468,3.704e-22,ACMSD,Yin et. al. 2022,N1-Methyl-2-pyridone-5-carboxamide
rs17322446,metabolite_55,9.123e-19,ACMSD,Yin et. al. 2022,1-methylnicotinamide
rs4954192,metabolite_182,1.345e-14,ACMSD,Yin et. al. 2022,quinolinate
rs3940549,metabolite_100021324,2.094e-17,unknown,Yin et. al. 2022,"3,5-dichloro-2,6-dihydroxybenzoic acid"
rs4988235,metabolite_100000580,4.936e-44,LCT,Yin et. al. 2022,"1,5-anhydroglucitol (1,5-AG)"
rs4988235,metabolite_100001083,1.809e-13,unknown,Yin et. al. 2022,indolepropionate
rs6754311,metabolite_100001026,5.333e-14,LCT,Yin et. al. 2022,galactonate
rs115224560,metabolite_100015962,1.414e-15,unknown,Yin et. al. 2022,"N,N,N-trimethyl-5-aminovalerate"
rs199546957,metabolite_100000015,4.962e-18,KYNU,Yin et. al. 2022,xanthurenate
rs354680,metabolite_100000015,2.165e-14,KYNU,Yin et. al. 2022,xanthurenate
rs777286544,metabolite_100006367,6.642e-11,HIBCH,Yin et. al. 2022,3-hydroxyhexanoate
rs189228944,metabolite_100020487,5.12e-11,unknown,Yin et. al. 2022,N-acetyl-isoputreanine
rs199925256,metabolite_100002514,6.723e-11,unknown,Yin et. al. 2022,hydantoin-5-propionate
rs144419430,metabolite_100002514,2.163e-13,unknown,Yin et. al. 2022,hydantoin-5-propionate
rs7562507,metabolite_100002514,1.416e-17,unknown,Yin et. al. 2022,hydantoin-5-propionate
rs77225800,metabolite_100001456,4.373e-14,AOX1,Yin et. al. 2022,7-methylguanine
rs1047891,metabolite_100000961,7.328e-21,CPS1,Yin et. al. 2022,homoarginine
rs1047891,metabolite_100001006,1.768e-25,CPS1,Yin et. al. 2022,N-acetylglycine
rs1047891,metabolite_100001294,8.805e-22,CPS1,Yin et. al. 2022,gamma-glutamylglycine
rs1047891,metabolite_100001527,9.983e-13,CPS1,Yin et. al. 2022,hexanoylglycine
rs1047891,metabolite_100002458,4.749e-31,CPS1,Yin et. al. 2022,3-methylglutaconate
rs1047891,metabolite_100003686,3.132e-11,CPS1,Yin et. al. 2022,N-palmitoylglycine
rs1047891,metabolite_100005850,6.461e-16,CPS1,Yin et. al. 2022,3-methylglutarylcarnitine (2)
rs1047891,metabolite_340,8.139e-90,CPS1,Yin et. al. 2022,glycine
rs715,metabolite_100001150,9.606e-16,CPS1,Yin et. al. 2022,propionylglycine
rs4673546,metabolite_503,5.166e-11,CPS1,Yin et. al. 2022,serine
rs192756070,metabolite_100000039,1.768e-39,SLC23A3,Yin et. al. 2022,methionine sulfoxide
rs192756070,metabolite_100000295,4.105e-12,SLC23A3,Yin et. al. 2022,tartarate
rs192756070,metabolite_100000808,2.389e-29,SLC23A3,Yin et. al. 2022,cysteine s-sulfate
rs192756070,metabolite_100000840,7.571e-71,SLC23A3,Yin et. al. 2022,tartronate (hydroxymalonate)
rs192756070,metabolite_100000841,1.773e-83,SLC23A3,Yin et. al. 2022,oxalate (ethanedioate)
rs192756070,metabolite_100001022,1.431e-35,SLC23A3,Yin et. al. 2022,threonate
rs192756070,metabolite_100002537,2.226e-16,SLC23A3,Yin et. al. 2022,4-hydroxy-2-oxoglutaric acid
rs192756070,metabolite_100009232,1.621e-15,SLC23A3,Yin et. al. 2022,thioproline
rs192756070,metabolite_100020409,4.611e-14,SLC23A3,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs192756070,metabolite_1052,8.042e-85,SLC23A3,Yin et. al. 2022,glycerate
rs192756070,metabolite_279,8.817e-22,SLC23A3,Yin et. al. 2022,cystine
rs140819668,metabolite_100000787,1.19e-11,unknown,Yin et. al. 2022,N-acetylaspartate (NAA)
rs1105880,metabolite_100000015,1.747e-25,unknown,Yin et. al. 2022,xanthurenate
rs1105880,metabolite_100020502,1.65e-11,unknown,Yin et. al. 2022,sulfate of piperine metabolite C18H21NO3 (1)*
rs2011425,metabolite_100021104,2.986e-13,unknown,Yin et. al. 2022,pregnenetriol disulfate*
rs1180833270,metabolite_1090,1.043e-12,UGT1A1,Yin et. al. 2022,"bilirubin (Z,Z)"
rs887829,metabolite_100001950,2.915e-295,UGT1A1,Yin et. al. 2022,"bilirubin (E,E)*"
rs887829,metabolite_100001951,7.253e-290,UGT1A1,Yin et. al. 2022,"bilirubin (E,Z or Z,E)*"
rs887829,metabolite_1090,0.0,UGT1A1,Yin et. al. 2022,"bilirubin (Z,Z)"
rs887829,metabolite_250,0.0,UGT1A1,Yin et. al. 2022,biliverdin
rs4148323,metabolite_100001950,1.173e-45,UGT1A1,Yin et. al. 2022,"bilirubin (E,E)*"
rs4148323,metabolite_100001951,5.262e-39,UGT1A1,Yin et. al. 2022,"bilirubin (E,Z or Z,E)*"
rs4148323,metabolite_1090,9.825e-50,UGT1A1,Yin et. al. 2022,"bilirubin (Z,Z)"
rs4148323,metabolite_250,2.268e-49,UGT1A1,Yin et. al. 2022,biliverdin
rs1018124,metabolite_250,5.453e-11,UGT1A1,Yin et. al. 2022,biliverdin
rs7370843,metabolite_100002070,2.93e-11,D2HGDH,Yin et. al. 2022,2-hydroxyglutarate
rs146578303,metabolite_100002070,1.117e-65,D2HGDH,Yin et. al. 2022,2-hydroxyglutarate
rs6707874,metabolite_100002070,1.137e-27,D2HGDH,Yin et. al. 2022,2-hydroxyglutarate
rs34389160,metabolite_1025,3.43e-21,unknown,Yin et. al. 2022,pipecolate
rs6800284,metabolite_244,1.396e-39,GADL1,Yin et. al. 2022,beta-alanine
rs147693330,metabolite_100004046,4.213e-37,GADL1,Yin et. al. 2022,N-acetylcarnosine
rs17279437,metabolite_100001092,6.015e-44,SLC6A20,Yin et. al. 2022,trigonelline (N'-methylnicotinate)
rs17279437,metabolite_100001540,3.021e-20,SLC6A20,Yin et. al. 2022,pyroglutamine*
rs200010750,metabolite_100020371,7.066e-11,SLC6A20,Yin et. al. 2022,"N,N-dimethylalanine"
rs544108035,metabolite_1083,1.297e-44,unknown,Yin et. al. 2022,N-acetylmethionine
rs879887838,metabolite_100001274,6.022e-18,unknown,Yin et. al. 2022,N-acetylthreonine
rs879887838,metabolite_100001851,4.798e-34,unknown,Yin et. al. 2022,N-acetylserine
rs138144932,metabolite_1084,3.649e-33,unknown,Yin et. al. 2022,N-acetylvaline
rs121912698,metabolite_100000282,5.769e-21,ACY1,Yin et. al. 2022,N-acetylglutamate
rs121912698,metabolite_100001253,2.195e-15,ACY1,Yin et. al. 2022,N-acetylglutamine
rs121912698,metabolite_1082,2.449e-13,ACY1,Yin et. al. 2022,N-acetylleucine
rs121912698,metabolite_1110,1e-34,ACY1,Yin et. al. 2022,N-acetylalanine
rs121912698,metabolite_194,9.611e-35,ACY1,Yin et. al. 2022,N-formylmethionine
rs968702,metabolite_100000846,8.594e-12,TKT,Yin et. al. 2022,erythritol
rs4687717,metabolite_100001320,5.222e-15,TKT,Yin et. al. 2022,erythronate*
rs4687718,metabolite_100001320,7.523e-38,TKT,Yin et. al. 2022,erythronate*
rs79648456,metabolite_100000846,1.6e-14,TKT,Yin et. al. 2022,erythritol
rs1354034,metabolite_234,7.426e-19,unknown,Yin et. al. 2022,aspartate
rs1354034,metabolite_297,8.208e-15,unknown,Yin et. al. 2022,sphingosine
rs1354034,metabolite_50,3.326e-12,unknown,Yin et. al. 2022,spermidine
rs13874,metabolite_100020893,2.257e-21,SLC25A26,Yin et. al. 2022,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"
